"","Tweets","Category"
"1887","thanks for sharing the amazing ways you would spend the oneextrahour 
well announce the winners in a few hours staytuned farakpadtahai","Positive"
"1888","the hard working driver paners of pune have won the opl they are now the proud owners of maruti ciaz congrats opl","Positive"
"1889","share your ride farakpadtahai","Positive"
"1890","incredibly inspired by the dedication of lacs of ola driverpaners well doneopl was indeed a unique initiativemore power to u","Positive"
"1891","congratsampyouve won yourself a citizen ecodrive watch oneextrahour pls check your dm farakpadtahai","Positive"
"1892","bengaluru book an olashare to travel anywhere in the city at just 40 for 5km between 11am amp 5pm farakpadtahai","Negative"
"1893","great to know that you had an amazing musicfilled ride wish you a wonderful day ahead nayani olaplay","Positive"
"1894","ola play enteainment is its truecalling letsplay","Negative"
"1895","delhi say aye amp win free couple passes to the musical night withat farzi cafe cpolaplay","Positive"
"1896","on bhai have a safe ride","Positive"
"1897","congrats firoz youve won yourself a couple pass to the music night withplease check your dm","Positive"
"1898","congrats ruchi youve won yourself a couple pass to the music night withplease check your dm","Positive"
"1899","now catch our music videos onplay 
book a prime play today to check our latest track khudi amp enjoy the ride
tlt ola","Positive"
"1900","humbling to meet and felicitate the winners of the first ever opl in pune associating withhas been a thrilling experience","Positive"
"1901","facepalmin our defense it is friday 
on a serious note this is a quite a slip up were going to look into how this happened","Negative"
"1902","share an offbeat destination in india amp stand a chance to win weekend package stay at treebo hotels indiaoffbeat
","Positive"
"1903","introducing happy pricing now enjoy lower fares than usual during nonpeak hours happypricingonola
learn more","Positive"
"1904","to those who say very little but always go the distance happy fathers day 
fathersday","Positive"
"1905","this father’s day a trip becomes a journey in itself

watch rearview our new sho film now 

","Positive"
"1906","today we celebrate the journey of a father 
heres to the amazing fathers and dadstobe a very happy fathersday
","Positive"
"1907","dedicated stand for ola cabs at pune railway station
","Positive"
"1908","share an offbeat location in india and stand a chance to win ola outstation vouchers indiaoffbeat","Positive"
"1909","chennai introducing greentuesdays today book an olashare to travel anywhere in the cityjust 40 for 5km","Negative"
"1910","congrats prathamesh you have won the indiaoffbeat contest dm us your email id and phone number","Positive"
"1911","congrats you have won the indiaoffbeat contest dm us your email id and phone number","Positive"
"1912","youve definitely won our hea respect givewaygivelife","Positive"
"1913","we have panered with andhra pradesh government to boost transpoation services in the state 
 andsigning the mou","Negative"
"1914","flaggedoff the first set of cobrandedampunder an exclusive panership thatll boost tourism amp transpoation","Positive"
"1915","music makes everything better worldmusicday olaplay letsplay","Positive"
"1916","and it is true a good ac bus with an assured seat is all we need in indiaamp shuttl have brought back the charm of bus rides","Positive"
"1917","olaplay","Negative"
"1918","this is definitely not acceptable please accept our sincere apologies for the mishap please dm us the booking id so that the 12","Positive"
"1919","driver paner can be suspended and our safety team can connect with you 22","Positive"
"1920","indian contingent is playing at the world championship of ultimate frisbee in franceamp show your suppo 
moveourathletes","Negative"
"1921","this is definitely not the ola experience we’d like you to have please dm us your booking id and we’ll look into this immediately","Positive"
"1922","this eid let us drive you to your loved ones celebrate this joyous day with friends family and ghar ki biryani","Positive"
"1923","your ola app is about to transform
stay tuned for more 
transformersonola transformers
","Negative"
"1924","thanksfor helping us in recognizing amp rewarding our paner mr prashanthas act of kindness everylifematters humansofola","Positive"
"1925","how beautiful tks4 rewarding amp recognizing him may his deed set an example happy 4 him amp congrats 2 u 4 creating this story","Positive"
"1926","prashantha kundar stopped his cab to save a dying puppy amp is a hero in an unkind world 
","Positive"
"1927","the transformers have come to ola 
roll out the revolution update your ola app now
transformersonola","Negative"
"1928","the transformers have come to ola 
roll out the revolution 
update your ola app now
transformersonola
","Negative"
"1929","dont we all transformersonola","Negative"
"1930","going to ride in optimus prime for meetings todaytransformersonola","Positive"
"1931","did you catch it silkboard farakpadtahai blr decongestbengaluru olashare","Negative"
"1932","check olamicro on the app transformersonola","Negative"
"1933","calling all autobots transformersonola","Negative"
"1934","transformersonola","Negative"
"1935","youre most welcometransformers transformersonola","Negative"
"1936","today i updated my ola app to book a cab for my meeting amp was surprised to see the transformers cars it was amazing transformersonola","Positive"
"1937","thanks vijaytransformersonola","Positive"
"1938","its here transformeronola","Negative"
"1939","hey all you transformers fans transformers5 tickets are up for grabs 
staytuned transformersonola","Positive"
"1940","autobots roll outtransformersonola","Negative"
"1941","capture bumblebee within the outline and share it with us transformersonola
tampc","Negative"
"1942","contest ale transformers5 tickets up for grabstransformersonola","Negative"
"1943","just a regular morning at silk board junction bengaluru creating some buzz about the benefits of olashare farakpadtahai","Positive"
"1944","introducing olaseniors a special program for senior citizens where they can book discounted ola rides register","Positive"
"1945","introducing bengalurudetours in association with
plan a fun weekend with bengalurudetours today","Positive"
"1946","do you know anyone who could benefit from our olaseniors initiative help enroll them in the program here","Positive"
"1947","hey mayank great to know that you had a wonderful experience may you get awesome copassengers in all your olashare rides","Positive"
"1948","pune do you know anyone who would benefit from the olaseniors initiative you can help register them here","Positive"
"1949","does it well have this checked thanks for pointing it out","Positive"
"1950","what a beautiful observation","Positive"
"1951","never a dull moment in olashare","Negative"
"1952","now you can book your ola ride right from your browser on both mobile amp desktop 
visitto book your cab olaonweb","Positive"
"1953","pay on your way to a pay with olaplay fridayfeeling","Negative"
"1954","wifi
what else you need 
extremelyhappy with ola service 
 olacabs","Negative"
"1955","south western railwaybengaluru divisioninauguration of the ola facility for passengers","Negative"
"1956","olalux kijiye phir samajhiye luxury kya cheez hai","Positive"
"1957","bengaluru book your ola from the dedicated olazones now in 12 railway stations across the city","Positive"
"1958","mumbai do you know anyone who would benefit from the olaseniors initiative you can help register them here","Positive"
"1959","nagpur do you know anyone who would benefit from the olaseniors initiative you could help them to register here","Positive"
"1960","ahmedabad did you know that your mom or dad could travel at a lower cost enroll them to the olaseniors initiative","Negative"
"1961","hey came across your insta story feedback duly notedkeep enjoying your prime play rides","Positive"
"1962","olaplayso you can enjoy your safar and not let the traffic make your suffer","Negative"
"1963","newsfromniti andhra pradesh joins hands withwill create 25000 jobs by 2022","Positive"
"1964","have brought a phenomenal upgrade olaexpressshare is the cheapest ride in the entire country super stuff ola","Positive"
"1965","tried ola outstation for the first time car arrived in 20 great experience overall wifi throughout the trip ola gt uber","Positive"
"1966","sometimes its good to be the third wheel sharetales","Positive"
"1967","
 
 
 
 
 
 
book an olarentals and keep the cab with you","Negative"
"1968","thank u folks had left my home keys in myi took now but good driver came back to return them to me now","Positive"
"1969","workfromola is a legit status","Negative"
"1970","have you ever met someone in an olashare ride that you decided to stay in touch with 
tell us your story","Negative"
"1971","intersting tell us more","Negative"
"1972","its neither considered staying in touch nor is it considered cool notcool","Positive"
"1973","have you ever","Negative"
"1974","got an olashare story","Negative"
"1975","you could tweet about it or tell us over dm","Negative"
"1976","finally the secret location is revealed for my indiaoffbeat ride on an olaoutstation heading to ooty thanks guys at","Positive"
"1977","share your best monsoon travel pics with us using monsoonswithola amp olaoutstation and win
learn more","Positive"
"1978","master class withformer chief data scientist of the usa datascientist bigdata","Positive"
"1979","this summer winter is coming amp its bringing your favourite characters what song would you use to describe them lettheplaybegin olaplay","Negative"
"1980","bengaluru join ola masterclass withformer us chief data scientist 
register here","Positive"
"1981","thedesign team shares what went behind the design amp conception of olaplay version 1","Positive"
"1982","this looks like a perfect entry for monsoonswithola head to instagram to paicipate","Positive"
"1983","when it rains ola auto is the best source to travel sho distances 
very economical 
hyderabadrains 

thanks","Positive"
"1984","this is a true story","Positive"
"1985","waiting to hear it","Negative"
"1986","bade bade desho main aisi choti choti baatein hoti rehti hai","Positive"
"1987","outstanding job done done today i travelled and my ride was driven by a ladyamazing feeling true women empowerment resepect","Positive"
"1988","why do you take ola share farakpadtahai","Positive"
"1989","heres the second winner of monsoonswithola she has olaoutstation vouchers 
have you posted your monsoon travel photos yet","Positive"
"1990","thank youleft my charger in a cab and yadav the driver couriered it to me the next day at his own expense sotouched","Positive"
"1991","its easy to build hammers when everything is a nailolamasterclass","Positive"
"1992","it was a privellege to travel in a cab where lady is drivinghats off fabulous driving skills great initiative by ola","Positive"
"1993","youre the driving force behind a billion dreams no matter what the results ladies ruled lords today way to go indveng moveourwomen","Negative"
"1994","multiple things to do or many places to go 
book olarentals and leave your travel woes to us","Negative"
"1995","the mother of dragons what do you think is her favourite track 
lettheplaybegin olaplay","Negative"
"1996","what an amazing experience to get a lost iphone7 backdespair to delight thanks imran ofand findiphone onlove you","Positive"
"1997","bengaluru chennai and pune now book your olaauto at just 29 for 4km for a hasslefree and cashless auto experience","Negative"
"1998","ola share pass for sho distances in here check your app for more farakpadtahai","Positive"
"1999","make the most of monsoon escapades with olaoutstation 
celebrate monsoonswithola
","Positive"
"2000","that is a sucks we will see what can be done about it pleasedontstopthemusic olaplay","Negative"
"2001","howwent from hating math to making datascientist 21st century’s sexiest jobdatascience","Negative"
"2002","lets settle this once and for all 
the city with better roads is","Positive"
"2003","super thrilled to announce our panership with zomato you can soon order viaon ola play amp also pay for orders with ola money","Positive"
"2004","1st experience ofrental was niceboon fr ppl like me who love long drives but dont drive spoilermumbai traffic","Positive"
"2005","next time try olaplay on rentals traffic will never be the same again","Negative"
"2006","meet mrsyed our driver paner from mysore who returned valuables left in his auto keep up the good work humansofola","Positive"
"2007","sawferrying people out of water logged areas on bikes last thursday near vandemataram township kudos to them","Negative"
"2008","stop putting off your vacation plans
the season to travel is here
letsmakeithappen with olaoutstation","Positive"
"2009","turn your monday morning blues to hues 
listen to the mondaymotivation playlist on your way to work in an olaplay ride
letsplay","Positive"
"2010","gear up for the month of long weekends 
this august headout with olaoutstation amp make the holiday season count 
letsmakeithappen","Positive"
"2011","humansofola","Negative"
"2012","when youre the only one with wifi on the road spoilerking olaprimewifi","Negative"
"2013","have a great trip","Positive"
"2014","what is the best road trip route in india according to you
letsmakeithappen olaoutstation","Positive"
"2015","hi sonal we would like to speak with you about your ola rentals experience can we take this conversation on dm thanks","Positive"
"2016","could you please elaborate your concern your booking id will help us in resolving the issue for you","Positive"
"2017","meet the heroesofshare those who are making a difference in your life via ridesharing olashare farakpadtahai","Negative"
"2018","hi rushikesh we would like to speak with you about your ola outstation experience can we take this conversation on dm thanks","Positive"
"2019","twitter users have spoken delhi wins the twitter poll for the best roads in the country with 44 votes","Positive"
"2020","thanks for the shoutout gaurav stay awesome","Positive"
"2021","meet bengalurus heroesofshare helping reduce traffic amp pollution in the city through ridesharing farakpadtahai
","Positive"
"2022","the heroesofshare from delhi who helped move the city in the right direction through ridesharing farakpadtahai 
","Positive"
"2023","mumbai here are your heroesofshare ridesharing their way to reduce traffic amp pollution in mumbai farakpadtahai","Positive"
"2024","life never fails to surprise and delight thanks for sharing this","Positive"
"2025","here are a few ideas from twitter for a nice road trip this long weekend 
so where are you heading to 
letsmakeithappen olaoutstation","Positive"
"2026","friendship blooms in the most unexpected places this friendshipday were bringing to light a few such stories comingsoon farakpadtahai","Positive"
"2027","celebrate kishorekumar bihday with olaplay and enjoy a hand picked list of his greatest hits","Positive"
"2028","no more roadtrips missed 
letsmakeithappen with olaoutstation","Negative"
"2029","farakpadtahai","Negative"
"2030","glad to know that we have taken note of your valuable feedback and the same has been shared with the driver paner","Positive"
"2031","this friendshipday share a ride amp spark a connection
now get an olashare pass at just 1
farakpadtahai","Positive"
"2032","perfect sunday","Positive"
"2033","staing this friendshipday get an olashare pass at just 1 until august 11 
buy your share pass
farakpadtahai","Positive"
"2034","this friendshipday share a ride amp spark a connection
now get an olashare pass at just 1
farakpadtahai","Positive"
"2035","we stayed at the beautiful valley view reso for the last 2 days the staff here is amazing indiaoffbeat olaoutstation holidayiq","Positive"
"2036","celebrating the cherished memories and the sweetest bonds
we wish you a very happy rakshabandhan","Positive"
"2037","this friendship week share a ride amp spark a connection
now get an olashare pass at just 1
farakpadtahai","Positive"
"2038","have you ever sparked a connection in an olashare ride 
let us know in the replies 
farakpadtahai","Negative"
"2039","looks like a fun ride","Positive"
"2040","dont be so shaken youll always find someone to bond with in olashare shareaconnection","Negative"
"2041","sharing a ride with mans best friend yet another benefit of taking an olashare shareaconnection","Positive"
"2042","ride safe and stay safe giftahelmet","Positive"
"2043","take an olashare amp spark a connection 
what more now get your sharepass at just 1
shareaconnection","Positive"
"2044","you could shareaconnection on your next olashare ride
and this week get your sharepass at just 1","Negative"
"2045","joseph singing some nice classics from the radioperfect morning drive","Positive"
"2046","we agreeolaplay","Negative"
"2047","thanks for the shoutout it means a lot to us","Positive"
"2048","olaplay","Negative"
"2049","great discounts on olaoutstation rides and homestays from 
flashdeals sta at 1 pm today 
visit","Positive"
"2050","stories that sparked a connection in an olashare via
shareaconnection","Negative"
"2051","great discounts on olaoutstation rides and homestays from 
flashdeals ends in 20 mins visit now","Positive"
"2052","pay flat fares on all your olashare rides with share pass
now get your share pass at just 1
offer till august 11th
shareaconnection","Positive"
"2053","palak kapadia from mumbai writes a collaboration140on shareaconnection","Negative"
"2054","kahik krishnan from mumbai writes a collaboration140on shareaconnection

","Negative"
"2055","shareaconnection","Negative"
"2056","tapoja roy from kolkata writes a collaboration140on shareaconnection","Negative"
"2057","hehe thanks amanletsplay olaplay","Positive"
"2058","so whats your olashare story
shareaconnection","Negative"
"2059","heres why you should take an olaoutstation for your trip during this long weekend letsmakeithappen","Negative"
"2060","disclaimer please do not try this in an olashare","Positive"
"2061","long weekends calling its time to head out 
letsmakeithappen with olaoutstation","Negative"
"2062","how not to spend your weekends bingewatching 
choose a place and leave in an olaoutstation 
letsmakeithappen","Negative"
"2063","olaoutstation","Negative"
"2064","as per our record you have the ola share pass of rs50 for flat 8 kms for the extra kms travelled you will be charged as per the 14","Positive"
"2065","micro fare and peak time or dynamic charges may be applied to the booking please be advised that if there are multiple routes 24","Positive"
"2066","available to the destination the app automatically picks up the fastest one and the prepaid amount is calculated accordingly the 34","Positive"
"2067","fare for an ola share booking is always shown upfront post which the booking is confirmed 44","Positive"
"2068","ola encourages users to share a ride with stories of real life connections made in a shared cab","Positive"
"2069","vouchers fromup for grabs staytuned 
 amp spread the word
letsmakeithappen with olaoutstation","Negative"
"2070","q how can you win a 2n3d voucher from 
aamp tag your travel buddies using olaoutstation
letsmakeithappen
contestale","Positive"
"2071","contest aleolaoutstation letsmakeithappen","Negative"
"2072","congrats tanya youre one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone amp email","Positive"
"2073","congrats batmanyoure one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone amp email","Positive"
"2074","your wish has come true congrats tejan please dm your email id and phone number","Positive"
"2075","congrats pinky youre one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone no amp email","Positive"
"2076","congrats youre one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone no amp email","Positive"
"2077","make this independenceday more special take an ola share amp you may get to ride with an olasainik
tweet your story with olasalutessainik","Positive"
"2078","you are most welcome sumukhi get well soon","Positive"
"2079","that does not sound right please drop us a dm with the booking id amp we’ll look into this immediately you may reach us at 3355 3355 12","Positive"
"2080","prefix the city code for fuher assistance 22","Positive"
"2081","a very happy independence day to all independencedayindia","Positive"
"2082","this independencedayindia lets pledge to make india free from traffic congestion amp pollution
get your olashare pass at 1 farakpadtahai","Positive"
"2083","we suppo organdonation head over toand donatetheo","Negative"
"2084","hey rahul you are welcome to not share with ladies were sure they wont miss you","Positive"
"2085","ask we shall try and help","Negative"
"2086","may the new year bring much happiness and prosperity in your lives 
navroz mubarak 
parsinewyear","Positive"
"2087","ready to fight traffic amp pollution in your city with olashare
now get your share pass at just 1
farakpadtahai","Positive"
"2088","gurugram were happy to paner withgurgaon to facilitate seamless last mile connectivity","Positive"
"2089","the feeling is mutual","Positive"
"2090","proud to be panering withfor last mile connectivity","Positive"
"2091","“the environment congestion in our cities pollution these are things that warrant real interest farakpadtahai","Positive"
"2092","team helping its customers with free umbrellas outside blr airpo win","Positive"
"2093","if you have heard this statement more than once farakpadtahai","Negative"
"2094","thanks for the shoutout farakpadtahai","Positive"
"2095","super lgbt friendlyadwe need many more of these from corporate india till then 2 thumbs up ola 
","Positive"
"2096","delhi were celebrating got week want to win official got merchandise fromlearn more","Positive"
"2097","delhi gurugram","Negative"
"2098","discover olaoutstation on google maps book your oneway outstation ride when you’re checking out intercity routes on","Negative"
"2099","yes indeed amit you can now book your olaoutstation ride right from inside","Positive"
"2100","thanks for the shout out and all the love 
wish you an awesome week ahead","Positive"
"2101","how about a free ride","Positive"
"2102","of course consider this as our gift to them for the long weekend
also wed be more than happy to bring them back too","Positive"
"2103","thanks for the kind words it means a lot to us","Positive"
"2104","so will we 
please ask your friends to book an olaoutstation using the ride later option and share their crn amp well get it done","Positive"
"2105","thanks jeroz weve dmed you the details we wish your friends an awesome trip this weekend","Positive"
"2106","takes a bow","Negative"
"2107","hyderabad paicipate in the flash sale4pm for a chance to win an exclusive vip darshan at khaiabad ganesh open your ola app for more","Positive"
"2108","no worries jeroz as mentioned on the call weve sent you the updated details via dm","Negative"
"2109","were excited to know that we were able to make your weekend memorable 
stay awesome guysolaoutstation","Positive"
"2110","thanks for the kind words ananth","Positive"
"2111","thanks for all the love usha","Positive"
"2112","thanks for the shout out buddy","Positive"
"2113","passes yes however the lasses are upto you maam","Positive"
"2114","nice try
however you can use travel300 while booking your olaoutstation ride amp get 300 off on your ride","Positive"
"2115","hey praveen why dont you book an olaoutstation this weekend amp see for yourself were sure youd love the experience","Positive"
"2116","thank you meeth that means a lot to us","Positive"
"2117","humansofola","Negative"
"2118","thanks for the shout out hardik","Positive"
"2119","we have resumed our services in chandigarh panchkula and mohali thank you for your suppo and patience stay safe","Positive"
"2120","stay safe disha mumbairains","Positive"
"2121","free olashuttle rides available at bhayender and powai in mumbai look out for the ola crew on ground to help you stay safe mumbairains","Positive"
"2122","mumbai were running free shuttle services to get you safely to your destination from these locationsmumbairains","Positive"
"2123","mumbai weve suspended peak pricing amp olashare rides are free today share your rides amp help everyone get home safe","Positive"
"2124","hi lalit theres no code required","Negative"
"2125","heres the route map of the olashuttle services","Negative"
"2126","of course prabhat were trying increase cab availability to ensure that more people are able to get to back home safely","Positive"
"2127","a shout out to mr santosh choudhary who got us home safely amidst the chaos of mumbairainsthank you sir thankfulthursday","Negative"
"2128","use traffic jams to your advantage now watch your favorite tv shows breaking news and more live on olaplay with","Positive"
"2129","i felt so thankful olaoutstation for helping us to get free ridesthe driver is the best kind also its been so smooth rides","Positive"
"2130","welcome to the primelife","Positive"
"2131","ola presentsget ready for the most happening pay of the year roadtoultrawithola
","Positive"
"2132","helloyour driver amod came back long way to return my mobile phone wish i could give him 10 stars","Positive"
"2133","complete the phrase 
 
on the backseat of my ola amp win free passes roadtoultrawithola
","Positive"
"2134","mumbai delhi free passes to uindia and a lot more up for grabs 
share your entry to roadtoultrawithola now","Positive"
"2135","proud to be panered with mr sikander khan who had helped a fellow mumbaikar reach safety during the mumbairains
humansofola","Positive"
"2136","to the guides in our lives happy teachersday","Positive"
"2137","happy bihday shubham
looks like you need an olarentals 
use code olarent20 while making your booking 
have an awesome bihday","Positive"
"2138","we are happy to paner with the punjab government to improve mobility ecosystem amp boost entrepreneurship in the state","Positive"
"2139","congrats deepak you have won passes to prepay of road to ultra dm us your full name email id and phone number","Positive"
"2140","couldnt agree more what say farakpadtahai","Positive"
"2141","what aride from sta up to the main category of awards well donekeep setting new benchmarks","Positive"
"2142","super kicked about the chainsmokers gig tomorrow lookout for some fun stuff as i take overinstagram handle roadtoultrawithola","Positive"
"2143","see you tomorrow mumbairoadtoultrawithola remember to leave your car at home and take a cab to ultra peekematchala","Negative"
"2144","see you there varun roadtoultrawithola roadtoultra","Negative"
"2145","word wifionola olaauto","Negative"
"2146","glad to hear tell us more about your experience humansofola","Positive"
"2147","humansofola","Negative"
"2148","were super excited about this are you following us on instagramyet roadtoultrawithola chainsmokers","Positive"
"2149","ravers are walking in soonwill be packed this is going to be one hell of a nightroadtoultrawithola","Negative"
"2150","come join us on instagram for all the fun roadtoultrawithola
 
peekematchala","Positive"
"2151","this is definitely not acceptable amp we regret the unpleasant experience the complaint has been repoed against the paner involved 12","Negative"
"2152","so that necessary action is taken to minimise any such instances in future we strive to serve you better 22","Positive"
"2153","great news for all of you at the pay roadtoultrawithola 
free olashuttle available from your venuemumbai","Positive"
"2154","your commute just got better now getvouchers with your cab rides 
to know more visit","Positive"
"2155","hi shubham please dm us your details for sending the passes roadtoultrawithola","Positive"
"2156","catch behind the scenes withat roadtoultrawithola mumbai exclusively on our instagram stories","Negative"
"2157","the fun is not over people join us as we take roadtoultrawithola to delhi tonight dilliwallas are you excited","Positive"
"2158","oh what a night it was thank you so muchfor the vip experience and making me meetroadtoultrawithola","Positive"
"2159","weve joined hands withto suppo stabilizing amp revitalizing of our rivers heres how you can help","Positive"
"2160","catch us live on instagramfor all roadtoultrawithola action","Positive"
"2161","when yourenteainment looks this inviting idontwatchtvgt","Positive"
"2162","bengaluru heading to theevent at palace grounds now take an olashare to there amp back at just 49 for 6 km farakpadtahai","Negative"
"2163","wed have love to if we were a dating app","Positive"
"2164","prime play costs just as much a regular prime cab par aapka sense of humour bahut acha hai humein jaldi pata lag gayaolaplay","Negative"
"2165","6 autos quoted over rs100 to drive 3 kms on sarjapur road finally an auto stopped and said book it onand i am now going in rs34","Negative"
"2166","do you know anyone who could benefit from our olaseniors initiative help enroll them in the program here","Positive"
"2167","cofoundersuppos mentorofchange join the innovation revolution with him apply here","Positive"
"2168","mumbai weve panered withto bring you a chance to win a trip to mauritius
details","Positive"
"2169","olacredit ftw","Negative"
"2170","thanks for the shout out riya
do let us know about that specific change that you liked the mostolaplay","Positive"
"2171","farakpadtahai","Negative"
"2172","launches ola paner world a sprawling 20000 square feet facility to address the needs of drivers","Negative"
"2173","good morning mumbaican we please all take a moment to appreciate mydrivers sassy dashboard","Positive"
"2174","what are the issues that matter to the indian youth comingsoon 
farakpadtahai
ps guess the indian in the pic","Positive"
"2175","bhavish aggarwal co–foundersuppos mentorofchange join the innovation revolution with himapply here","Positive"
"2176","when you get an early morning call from overseas and can talk to your heas content without a worry thanks towifi yay","Positive"
"2177","what the farak bothers millennials in indiatakes an ola share ride to find out 
do you agree let us know farakpadtahai","Positive"
"2178","there are many things that divide us but what the farak bothers us 
 takes an olashare to find out 
farakpadtahai","Negative"
"2179","live right now

 on howbuilt their progressive web app using polymer

watch 
","Positive"
"2180","delhi your olashare rides at flat fares only with share pass now get yours at just 1farakpadtahai","Positive"
"2181","join us in theinitiative to empower young innovators across india become a mentorofchange 
apply now","Positive"
"2182","happy engineers day krishna","Positive"
"2183","this engineersday lets pay tribute to the greatest engineering marvels of india 
head to one of them in an olaoutstation","Positive"
"2184","join me in theinitiative to empower young innovators across india become a mentorofchange apply now","Positive"
"2185","bengaluru reason no 22 to get your share pass
now buy your share pass at just 1 
farakpadtahai","Positive"
"2186","if you want to share your appreciation tweetpost to us with heroesofola and well ensure she is amply rewarded","Positive"
"2187","flagged off ghoomoresponsibly with ola for world tourism day a great campaign raising awareness on sustainable and responsible tourism","Positive"
"2188","watch this space for more comingsoon 
olaoutstation ghoomoresponsibly","Negative"
"2189","followas she begins an epic journey in 7 states with olaoutstation watch this space for more
ghoomoresponsibly","Positive"
"2190","its just me amp my sony camera on the road with ola join me on my sustainable tourism adventure staing right","Positive"
"2191","thanks for the all the love hima you know weyou too","Positive"
"2192","bengaluru travel at flat fares on your olashare rides only with share pass
now at just 1 
farakpadtahai","Positive"
"2193","my road trip around india begins yes im doing it in

 ghoomorespnsibly olaoutstation","Positive"
"2194","delhi decongest your city through ridesharing olashare ftw
now get your share pass at just 1 
farakpadtahai","Positive"
"2195","what the farak bothers you the most 
farakpadtahai","Negative"
"2196","a beautiful story on the very brilliant ankit bhati the techie behindbyamp","Positive"
"2197","bengaluru if you havent yet heres your chance to get your share pass at just 1farakpadtahai","Positive"
"2198","were proud to be panered with mrsuresh 
do you have stories of such amazing ola driver paners share it with us using heroesofola","Positive"
"2199","hampi in all its glory
followon her epic journey across india with olaoutstation ghoomoresponsibly","Positive"
"2200","avail free olashuttle services between domestic amp international airpos and the airpo metro station 
spread the word mumbairains","Positive"
"2201","is headed to jaipur next suggest her with the best places to have local food there ghoomoresponsibly olaoutsation","Positive"
"2202","mumbai we have suspended peak pricing in the city 
get home safe mumbairains","Positive"
"2203","in gandikota andhrapradesh follow her journey across india with olaoutstation ghoomoresponsibly","Positive"
"2204","the best of fusion music to help you unwind 
 now on olaplay
nowplaying","Positive"
"2205","","Negative"
"2206","day5in rajasthan at samodh palace met villagers amp bought lot of local stuff visit 2 pink city tmrw excited ghoomoresponsibly","Positive"
"2207","khamma ghani
its good to see you being a pa of ghoomoresponsibly byhope you are having a great time here","Positive"
"2208","you can try olaoutstation from our app schedule a ride check fares you should be all set let us know if you need any help safe trip","Positive"
"2209","has pledged to golocal have you 
here’s the ola guide to ghoomoresponsibly with olaoutstation","Positive"
"2210","hey pankhudi does your stupidmansmaphone have the ola app","Negative"
"2211","brands shud do more such campaigns we need to inspire each other to be responsible tourists great jobampkudos","Positive"
"2212","thanks vikram shout out tofor helping us spread the message of responsible travel ghoomoresponsibly olaoutstation","Positive"
"2213","the feelings are mutual","Positive"
"2214","were happy to paner withto promote responsible tourism and offbeat travel ghoomoresponsibly olaoutstation","Positive"
"2215","take a pledge to always honouheheritage when you travel 
ghoomoresponsibly olaoutstation","Positive"
"2216","heres chapter 2 of the ola guide to ghoomoresponsiblyhas taken the pledge to honouheheritage have you olaoutstation","Positive"
"2217","were happy to join hands withto promote responsible tourism ghoomoresponsibly 
olaoutstation","Positive"
"2218","has pledged to protecttheplanet have you olaoutstation ghoomoresponsibly","Negative"
"2219","take a pledge to do your share in protecting our planet ghoomoresponsibly olaoutstation protectourplanet","Positive"
"2220","bengaluru ready to fly to mysore on a chaered flight to witness the dasara celebrations heres how you can win","Positive"
"2221","were proud to join hands withto promote responsible tourism
ghoomoresponsibly
olaoutstation","Positive"
"2222","take a pledge to preserve the beauty of our country by not littering golitterfree ghoomoresponsibly olaoutstation","Positive"
"2223","your prime play rides are getting a lot more fun nowplayingvideos on your olaplay rides","Positive"
"2224","lets pledge to protect the wildlife during our travels 
preservethewildlife
ghoomoresponsibly with olaoutstation","Positive"
"2225","were happy to paner withto promote responsible tourism ghoomoresponsibly 
olaoutstation","Positive"
"2226","want to win tickets to the movie spyder we have a contest for you tomorrowand spread the word hyderabad","Positive"
"2227","we suppo responsible tourism do you 
tell us how do you ghoomoresponsibly 
olaoutstation","Positive"
"2228","ghoomoresponsibly","Negative"
"2229","heres howstaed her epic trip across 7 states spreading the message of responsible tourism ghoomoresponsibly","Positive"
"2230","follow the epic journey ofwith olaoutstation at 
ghoomoresponsibly","Positive"
"2231","this worldtourismday have fun while you travel and ghoomoresponsibly olaoutstation","Positive"
"2232","today is the last day to get your share pass at just 1 and enjoy flat fares on your olashare rides 
farakpadtahai","Positive"
"2233","contest ale win tickets to the movie spyder 50 s to begin the contest spyderwithola hyderabad","Positive"
"2234","contest alespyderwithola","Negative"
"2235","hyderabad answer questions around the movie spyder and stand a chance to win couple tickets spyderwithola","Positive"
"2236","whats mahesh babus name in the movie and where does he work spyderwithola","Positive"
"2237","congrats javeed you have won a couples ticket to the movie spyder dm us your phone number and email id","Positive"
"2238","who plays the antagonist role in the movie spyder spyderwithola","Negative"
"2239","congrats you have couple tickets to the movie spyder dm us your email id and phone number spyderwithola","Positive"
"2240","in which country the famous ciciliya ciciliya song from spyder movie shot spyderwithola","Positive"
"2241","congrats you have won couple tickets to the movie spyder dm us your phone number and email id spyderwithola","Positive"
"2242","ar murugadoss director of the movie spyder amp sj suryah worked together which movie was it spyderwithola","Positive"
"2243","kudos vinod for setting a great example givewaygivelife
and thanks anup for bringing this to our attention ghoomoresponsibly","Positive"
"2244","please share your crn to help us recognize vinod and personally convey our appreciationgivewaygivelife","Positive"
